arm,model,id,step_idx,epoch,efficacy,specificity,soft_shift,prediction_changed
base,Base LLaMA-3B,7-527,0,1,73.32088302826985,95.0,0.0,0
base,Base LLaMA-3B,7-527,0,2,67.56644213108254,85.0,-3.125,0
base,Base LLaMA-3B,7-527,0,3,71.8212365953123,85.0,-3.515625,0
base,Base LLaMA-3B,7-527,0,4,75.89742639249897,75.0,-3.90625,0
base,Base LLaMA-3B,7-527,0,5,79.38397628874078,75.0,-3.515625,0
base,Base LLaMA-3B,7-527,1,1,72.44710295446836,95.0,8.203125,0
base,Base LLaMA-3B,7-527,1,2,85.01974971358183,95.0,4.296875,0
base,Base LLaMA-3B,7-527,1,3,88.33336934633189,90.0,6.25,0
base,Base LLaMA-3B,7-527,1,4,90.17571200931246,95.0,7.8125,0
base,Base LLaMA-3B,7-527,1,5,91.1935651608324,90.0,10.9375,0
base,Base LLaMA-3B,7-527,2,1,92.01291041688359,95.0,-3.125,0
base,Base LLaMA-3B,7-527,2,2,96.87221077847997,85.0,-3.515625,0
base,Base LLaMA-3B,7-527,2,3,97.78206532565909,85.0,-3.515625,0
base,Base LLaMA-3B,7-527,2,4,98.27267073882207,90.0,-3.125,0
base,Base LLaMA-3B,7-527,2,5,98.52253698773008,85.0,-2.734375,0
base,Base LLaMA-3B,7-527,3,1,88.42415978637368,90.0,8.984375,0
base,Base LLaMA-3B,7-527,3,2,95.93649790820325,90.0,5.078125,0
base,Base LLaMA-3B,7-527,3,3,96.78550526731239,85.0,3.125,0
base,Base LLaMA-3B,7-527,3,4,97.16321835502869,85.0,3.90625,0
base,Base LLaMA-3B,7-527,3,5,97.49654898500398,85.0,5.078125,0
base,Base LLaMA-3B,9-554,0,1,76.29426360141288,100.0,55.859375,1
base,Base LLaMA-3B,9-554,0,2,90.6438904193961,95.0,64.6484375,1
base,Base LLaMA-3B,9-554,0,3,93.66933958936539,90.0,69.62890625,1
base,Base LLaMA-3B,9-554,0,4,93.66933958936539,85.0,69.7265625,1
base,Base LLaMA-3B,9-554,0,5,93.15492400469277,85.0,67.3828125,1
base,Base LLaMA-3B,9-554,1,1,75.3017427123707,100.0,53.3203125,1
base,Base LLaMA-3B,9-554,1,2,88.51424368960568,100.0,79.638671875,1
base,Base LLaMA-3B,9-554,1,3,93.4556133252925,100.0,86.9384765625,1
base,Base LLaMA-3B,9-554,1,4,94.98224468153028,90.0,88.6474609375,1
base,Base LLaMA-3B,9-554,1,5,95.64049863067055,90.0,88.836669921875,1
base,Base LLaMA-3B,9-554,2,1,62.55967579145775,85.0,89.7308349609375,1
base,Base LLaMA-3B,9-554,2,2,76.38668350906977,75.0,90.17257690429688,1
base,Base LLaMA-3B,9-554,2,3,81.46569552421661,70.0,90.20099639892578,1
base,Base LLaMA-3B,9-554,2,4,84.39255083300893,70.0,90.2165412902832,1
base,Base LLaMA-3B,9-554,2,5,86.0095729863566,75.0,90.20500183105469,1
base,Base LLaMA-3B,9-554,3,1,72.7148646565174,100.0,0.390625,0
base,Base LLaMA-3B,9-554,3,2,89.39813890201498,100.0,-1.171875,0
base,Base LLaMA-3B,9-554,3,3,92.12136582352646,100.0,0.0,0
base,Base LLaMA-3B,9-554,3,4,93.04712974266496,100.0,0.78125,0
base,Base LLaMA-3B,9-554,3,5,93.15492400469277,100.0,1.953125,0
base,Base LLaMA-3B,9-554,4,1,98.87929354652881,100.0,-3.90625,0
base,Base LLaMA-3B,9-554,4,2,99.99704288382725,100.0,-4.6875,0
base,Base LLaMA-3B,9-554,4,3,99.99981095788773,90.0,-3.515625,0
base,Base LLaMA-3B,9-554,4,4,99.99994583852802,85.0,-2.34375,0
base,Base LLaMA-3B,9-554,4,5,99.99997441593219,80.0,-3.515625,0
base,Base LLaMA-3B,8-186,0,1,90.40329139550015,95.0,2.34375,0
base,Base LLaMA-3B,8-186,0,2,95.3229377616041,100.0,1.953125,0
base,Base LLaMA-3B,8-186,0,3,96.2418749129002,95.0,5.46875,0
base,Base LLaMA-3B,8-186,0,4,96.8353413888964,95.0,7.03125,0
base,Base LLaMA-3B,8-186,0,5,97.29312404446934,100.0,8.984375,0
base,Base LLaMA-3B,8-186,1,1,85.5089740042196,85.0,-0.78125,0
base,Base LLaMA-3B,8-186,1,2,92.24351272479275,95.0,0.390625,0
base,Base LLaMA-3B,8-186,1,3,95.51088956390731,95.0,1.5625,0
base,Base LLaMA-3B,8-186,1,4,96.96251593978185,95.0,2.34375,0
base,Base LLaMA-3B,8-186,1,5,97.63440503533519,95.0,4.296875,0
base,Base LLaMA-3B,8-186,2,1,58.557338926315474,95.0,4.296875,0
base,Base LLaMA-3B,8-186,2,2,82.17573357834576,95.0,4.6875,0
base,Base LLaMA-3B,8-186,2,3,91.17634828490486,95.0,5.859375,0
base,Base LLaMA-3B,8-186,2,4,94.47829985037333,100.0,8.203125,0
base,Base LLaMA-3B,8-186,2,5,96.022868578808,95.0,8.984375,0
base,Base LLaMA-3B,8-186,3,1,87.91591936968007,100.0,8.203125,0
base,Base LLaMA-3B,8-186,3,2,95.48450897102808,100.0,7.421875,0
base,Base LLaMA-3B,8-186,3,3,97.69371285251374,95.0,8.203125,0
base,Base LLaMA-3B,8-186,3,4,98.46368155225446,95.0,10.9375,0
base,Base LLaMA-3B,8-186,3,5,98.72634727202123,90.0,12.890625,0
base,Base LLaMA-3B,8-186,4,1,77.68698398515703,95.0,-1.171875,0
base,Base LLaMA-3B,8-186,4,2,90.55207457189076,85.0,-3.515625,0
base,Base LLaMA-3B,8-186,4,3,93.60721387932924,90.0,-2.734375,0
base,Base LLaMA-3B,8-186,4,4,94.70019415966442,90.0,-3.125,0
base,Base LLaMA-3B,8-186,4,5,95.3229377616041,90.0,-3.125,0
base,Base LLaMA-3B,1672,1,1,88.33336934633189,90.0,9.375,0
base,Base LLaMA-3B,1672,1,2,94.65862726728336,80.0,17.1875,0
base,Base LLaMA-3B,1672,1,3,97.0502138211233,90.0,8.59375,0
base,Base LLaMA-3B,1672,1,4,97.97264358453225,95.0,4.6875,0
base,Base LLaMA-3B,1672,1,5,98.42109323606888,100.0,3.515625,0
base,Base LLaMA-3B,1672,3,1,78.87446103638977,95.0,-16.40625,0
base,Base LLaMA-3B,1672,3,2,94.13364969881192,95.0,-17.96875,0
base,Base LLaMA-3B,1672,3,3,97.70270421399762,100.0,-17.96875,0
base,Base LLaMA-3B,1672,3,4,98.80817864673648,100.0,-17.96875,0
base,Base LLaMA-3B,1672,3,5,99.32092066276287,100.0,-17.96875,0
base,Base LLaMA-3B,1672,5,1,90.47797357435883,90.0,33.203125,0
base,Base LLaMA-3B,1672,5,2,96.70927572150482,85.0,34.5703125,1
base,Base LLaMA-3B,1672,5,3,98.67042720218225,95.0,40.234375,1
base,Base LLaMA-3B,1672,5,4,99.31022671925284,95.0,49.0234375,1
base,Base LLaMA-3B,1672,5,5,99.46280402881237,95.0,54.1015625,1
base,Base LLaMA-3B,1672,7,1,90.62559891088492,90.0,-17.1875,0
base,Base LLaMA-3B,1672,7,2,97.47691417534179,95.0,-18.359375,0
base,Base LLaMA-3B,1672,7,3,98.64948947721743,90.0,-18.359375,0
base,Base LLaMA-3B,1672,7,4,98.98058117450084,90.0,-18.359375,0
base,Base LLaMA-3B,1672,7,5,99.18087396166784,90.0,-18.359375,0
base,Base LLaMA-3B,1672,9,1,84.84316726356596,90.0,-7.8125,0
base,Base LLaMA-3B,1672,9,2,94.59566485573767,90.0,-11.71875,0
base,Base LLaMA-3B,1672,9,3,96.10740342096426,90.0,-10.15625,0
base,Base LLaMA-3B,1672,9,4,96.67048570502892,85.0,-10.9375,0
base,Base LLaMA-3B,1672,9,5,97.06171394757689,85.0,-10.15625,0
base,Base LLaMA-3B,1672,11,1,84.0536065769052,90.0,25.390625,0
base,Base LLaMA-3B,1672,11,2,93.35255423106061,90.0,17.96875,0
base,Base LLaMA-3B,1672,11,3,95.77462638710077,95.0,18.75,0
base,Base LLaMA-3B,1672,11,4,96.81052066378429,90.0,10.9375,0
base,Base LLaMA-3B,1672,11,5,97.35582875844248,95.0,7.03125,0
base,Base LLaMA-3B,1672,13,1,91.62960198459322,100.0,-18.359375,0
base,Base LLaMA-3B,1672,13,2,98.16126757274942,95.0,-18.359375,0
base,Base LLaMA-3B,1672,13,3,98.8847524078647,90.0,-18.359375,0
base,Base LLaMA-3B,1672,13,4,99.15816695143339,85.0,-18.359375,0
base,Base LLaMA-3B,1672,13,5,99.27994203553558,90.0,-18.359375,0
base,Base LLaMA-3B,1672,15,1,84.70936577986136,85.0,49.0234375,1
base,Base LLaMA-3B,1672,15,2,96.5881983376894,90.0,53.125,1
base,Base LLaMA-3B,1672,15,3,98.28443838641648,95.0,56.640625,1
base,Base LLaMA-3B,1672,15,4,99.26214614430991,95.0,53.90625,1
base,Base LLaMA-3B,1672,15,5,99.651462517761,95.0,54.1015625,1
base,Base LLaMA-3B,9-948,1,1,91.46451067662844,100.0,7.8125,0
base,Base LLaMA-3B,9-948,1,2,98.31926249864739,100.0,12.5,0
base,Base LLaMA-3B,9-948,1,3,99.34181373750361,100.0,36.328125,0
base,Base LLaMA-3B,9-948,1,4,99.58811756158835,90.0,54.4921875,1
base,Base LLaMA-3B,9-948,1,5,99.67922563443165,90.0,60.546875,1
base,Base LLaMA-3B,9-948,3,1,87.8211427506459,95.0,1.171875,0
base,Base LLaMA-3B,9-948,3,2,96.10740342096426,100.0,-0.390625,0
base,Base LLaMA-3B,9-948,3,3,98.40248158276597,95.0,-1.5625,0
base,Base LLaMA-3B,9-948,3,4,99.14491000990591,95.0,-1.953125,0
base,Base LLaMA-3B,9-948,3,5,99.41230581740686,100.0,-2.34375,0
base,Base LLaMA-3B,9-948,5,1,86.62414205710417,100.0,39.453125,0
base,Base LLaMA-3B,9-948,5,2,94.51055896078103,100.0,42.578125,0
base,Base LLaMA-3B,9-948,5,3,96.77292409064995,95.0,49.8046875,0
base,Base LLaMA-3B,9-948,5,4,97.48675075476731,95.0,46.484375,0
base,Base LLaMA-3B,9-948,5,5,97.85030400173132,95.0,46.484375,0
base,Base LLaMA-3B,9-317,1,1,80.68969413591216,95.0,12.890625,0
base,Base LLaMA-3B,9-317,1,2,89.981945291025,100.0,16.40625,0
base,Base LLaMA-3B,9-317,1,3,95.55451517064725,100.0,17.578125,0
base,Base LLaMA-3B,9-317,1,4,97.76466984841068,100.0,23.6328125,0
base,Base LLaMA-3B,9-317,1,5,98.60116613494839,100.0,28.3203125,0
