arm,model,epoch,efficacy,specificity,soft_shift
base,Base LLaMA-3B,0,0.0,100.0,0.0
base,Base LLaMA-3B,1,82.49045169178686,96.03030303030303,12.723043422506313
base,Base LLaMA-3B,2,92.53002268585927,94.92929292929293,14.391710336762245
base,Base LLaMA-3B,3,95.04779547483801,93.79797979797979,15.630570475501244
base,Base LLaMA-3B,4,96.1219493031895,92.79797979797979,16.528396756962092
base,Base LLaMA-3B,5,96.69002920579506,92.63636363636364,17.330251633932797
sft,DeepSeek-Revision SFT,0,0.0,100.0,0.0
sft,DeepSeek-Revision SFT,1,92.38290475794356,99.72668810289389,16.262352198266523
sft,DeepSeek-Revision SFT,2,98.0215473800139,99.08360128617363,20.27875871137024
sft,DeepSeek-Revision SFT,3,98.98072610883177,98.47266881028939,22.16136049227699
sft,DeepSeek-Revision SFT,4,99.29084406288196,98.44051446945338,23.150471322406144
sft,DeepSeek-Revision SFT,5,99.43604966438436,98.2475884244373,23.73994293703527
